cis;x_norm;y_norm;offset_x;offset_y
ALTECKENDORF;0.5168;0.4031;0;0
ALTORF;0.4869;0.6228;0;0
ANDLAU;0.3927;0.7288;0;0
ARTOLSHEIM;0.5578;0.8712;0;0
ASCHBACH;0.7943;0.2758;0;0
BALBRONN;0.3864;0.5828;0;0
BALDENHEIM;0.5106;0.8452;0;0
BARR;0.4351;0.7152;0;0
BEINHEIM;0.8856;0.3404;0;0
BENFELD;0.5491;0.7420;0;0
BERGBIETEN;0.4234;0.5795;0;0
BERNARDSWILLER;0.4340;0.6863;0;0
BETSCHDORF;0.7433;0.3089;0;0
BILWISHEIM;0.5703;0.4705;0;0
BINDERNHEIM;0.5628;0.8111;0;0
BISCHHEIM;0.6354;0.5411;0;0
BISCHHEIM SCHILTIGHE;;;0;0
BISCHHOLTZ;0.4627;0.3280;0;0
BISCHOFFSHEIM;0.4740;0.6527;0;0
BISCHWILLER;0.7073;0.4134;0;0
BOERSCH;0.4152;0.6492;0;0
BOESENBIESEN;0.5290;0.8606;0;0
BOOFZHEIM;0.6079;0.7721;0;0
BOOTZHEIM;0.5453;0.8854;0;0
BOUXWILLER;0.4302;0.3820;0;0
BREUCHWICKERSHEIM;0.5516;0.5713;0;0
BRUMATH;0.6078;0.4458;0;0
CIE EMS NORD;;;0;0
CIE EMS SUD;;;0;0
CIE HAGUENAU;0.6522;0.3755;0;0
CIE MOLSHEIM;0.4693;0.6152;0;0
CIE SAVERNE;0.3515;0.4523;0;0
CIE SELESTAT;0.4542;0.8415;0;0
CLIMBACH;0.6892;0.2166;0;0
COLROY LA ROCHE;0.2175;0.7305;0;0
DAMBACH;0.5290;0.2369;0;0
DAMBACH LA VILLE;0.4170;0.7821;0;0
DAUENDORF;0.5603;0.3705;0;0
DEHLINGEN;0.1912;0.2608;0;0
DETTWILLER;0.4114;0.4333;0;0
DIEBOLSHEIM;0.5979;0.8111;0;0
DIEMERINGEN;0.2025;0.2962;0;0
DIRECTION;;;0;0
DOSSENHEIM S/ZINSEL;0.3376;0.3935;0;0
DRACHENBRONN BIRLENB;0.7092;0.2493;0;0
DRULINGEN;0.2038;0.3511;0;0
DRUSENHEIM;0.7816;0.4182;0;0
DURRENBACH;0.6354;0.3111;0;0
DURSTEL;0.2300;0.3457;0;0
DUTTLENHEIM;0.5140;0.6216;0;0
EBERSHEIM;0.4744;0.7963;0;0
EBERSMUNSTER;0.5010;0.8008;0;0
ECKBOLSHEIM;0.5977;0.5756;0;0
EPFIG;0.4528;0.7603;0;0
EPFIG BERNARDVILLE;0.4028;0.7479;0;0
ERGERSHEIM;0.4862;0.5762;0;0
ERNOLSHEIM S.BRUCHE;0.5153;0.5951;0;0
ERSTEIN;0.6015;0.6984;0;0
FEGERSHEIM;0.6132;0.6423;0;0
FOUCHY;0.2779;0.7965;0;0
FRIEDOLSHEIM;0.4428;0.4740;0;0
FROHMUHL;0.2716;0.3159;0;0
GAMBSHEIM;0.7456;0.4707;0;0
GEISPOLSHEIM;0.5719;0.6233;0;0
GERSTHEIM;0.6277;0.7293;0;0
GERTWILLER;0.4540;0.7152;0;0
GEUDERTHEIM;0.6490;0.4502;0;0
GOERSDORF;0.6390;0.2655;0;0
GOUGENHEIM;0.5090;0.4731;0;0
GOXWILLER;0.4578;0.6949;0;0
GRENDELBRUCH;0.3179;0.6613;0;0
GRIES;0.6828;0.4285;0;0
GRIESHEIM PRES MOLSH;0.4878;0.6410;0;0
GRIESHEIM SUR SOUFFE;0.6293;0.6239;0;0
GUNDERSHOFFEN;0.5615;0.3132;0;0
HAGUENAU;0.6522;0.3755;0;0
HANGENBIETEN;0.5503;0.5880;0;0
HARSKIRCHEN;0.0842;0.3168;0;0
HATTEN;0.8183;0.3100;0;0
HAUSBERGEN;0.5940;0.5465;0;0
HEILIGENSTEIN;0.4291;0.7028;0;0
HERBSHEIM;0.5765;0.7594;0;0
HERRLISHEIM;0.7539;0.4449;0;0
HILSENHEIM;0.5297;0.8061;0;0
HINDISHEIM;0.5565;0.6640;0;0
HOCHFELDEN;0.4984;0.4301;0;0
HOENHEIM;0.6530;0.5275;0;0
HOERDT;0.6602;0.4811;0;0
HOFFEN;0.7652;0.2814;0;0
HOHWALD (LE);0.3278;0.7258;0;0
HOLTZHEIM;0.5752;0.5924;0;0
HUTTENDORF;0.5478;0.3954;0;0
HUTTENHEIM;0.5290;0.7514;0;0
ILLKIRCH GRAFFENSTAD;0.6308;0.6260;0;0
INGWILLER;0.4266;0.3439;0;0
INNENHEIM;0.5128;0.6401;0;0
ITTENHEIM;0.5490;0.5359;0;0
KALTENHOUSE;0.6927;0.3980;0;0
KERTZFELD;0.5090;0.7320;0;0
KESKASTEL;0.1079;0.2691;0;0
KILSTETT;0.7139;0.4855;0;0
KINTZHEIM;0.3791;0.8371;0;0
KOGENHEIM;0.4953;0.7717;0;0
KRAUTERGERSHEIM;0.5153;0.6578;0;0
LA BROQUE;0.2229;0.6781;0;0
LA PLAINE DE L'ILL;;;0;0
LA ROTHAINE;;;0;0
LA WANTZENAU;0.7052;0.5032;0;0
LAMPERTHEIM;0.5965;0.5111;0;0
LAUBACH;0.6079;0.3378;0;0
LAUTERBOURG;0.9419;0.2431;0;0
LEMBACH;0.6442;0.2334;0;0
LES RIVES DU MUHLBAC;0.5341;0.5748;0;0
LIMERSHEIM;0.5766;0.6677;0;0
LINGOLSHEIM;0.5956;0.5892;0;0
LIPSHEIM;0.5826;0.6466;0;0
LOBSANN;0.6967;0.2617;0;0
LOCHWILLER;0.3839;0.4979;0;0
LUPSTEIN;0.4327;0.4510;0;0
LUTZELHOUSE;0.2601;0.6164;0;0
MACKENHEIM;0.5541;0.8907;0;0
MARCKOLSHEIM;0.5290;0.9172;0;0
MARLENHEIM;0.4627;0.5588;0;0
MARMOUTIER;0.3526;0.4917;0;0
MATZENHEIM;0.5691;0.7279;0;0
MEISTRATZHEIM;0.5078;0.6775;0;0
MERTZWILLER;0.5728;0.3404;0;0
MITTELBERGHEIM;0.4277;0.7279;0;0
MITTELHAUSBERGEN;0.5941;0.5474;0;0
MOLLKIRCH;0.3614;0.6385;0;0
MOLSHEIM;0.4693;0.6152;0;0
MOMMENHEIM;0.5541;0.4306;0;0
MONSWILLER;0.3591;0.4415;0;0
MOTHERN;0.9219;0.2705;0;0
MUNDOLSHEIM;0.6163;0.5221;0;0
MUSSIG;0.4957;0.8640;0;0
MUTTERSHOLTZ;0.5010;0.8272;0;0
MUTZIG;0.4242;0.6114;0;0
NAN;;;0;0
NIEDERBRONN LES BAIN;0.5458;0.2781;0;0
NIEDERHASLACH;0.3026;0.5881;0;0
NIEDERSCHAEFFFOLSHEI;0.6291;0.4165;0;0
NIEDERSOULTZBACH;0.4202;0.3616;0;0
NORD;;;0;0
NORDHOUSE;0.5941;0.6758;0;0
OBERHASLACH;0.3038;0.5890;0;0
OBERHOFFEN SUR MODER;0.7333;0.4009;0;0
